time,open,high,low,close,Volume
1774216800,50780,50780,50490,50525,29
1774216860,50615,50620,50585,50600,8
1774216920,50505,50505,50410,50425,27
1774216980,50440,50575,50410,50575,33
1774217040,50595,50725,50595,50725,3
1774217160,50715,50715,50705,50705,5
1774217220,50780,50800,50780,50800,2
1774217280,50770,50800,50745,50800,3
1774217400,50830,50830,50815,50815,2
1774217460,50780,50780,50750,50750,6
1774217520,50760,50760,50760,50760,1
1774217640,50780,50780,50780,50780,1
1774217700,50750,50800,50745,50755,6
1774217760,50800,50800,50800,50800,1
1774217820,50775,50775,50775,50775,1
1774217880,50800,50800,50765,50765,6
1774218000,50760,50770,50760,50770,8
1774218060,50785,50785,50785,50785,1
1774218120,50755,50755,50755,50755,2
1774218180,50785,50880,50785,50880,6
1774218240,50910,50910,50910,50910,1
1774218300,50930,50975,50925,50975,9
1774218360,50975,50975,50975,50975,1
1774218420,51000,51000,50995,50995,2
1774218480,51030,51110,51030,51110,37
1774218540,51105,51105,51090,51090,2
1774218660,51100,51110,51100,51110,3
1774218720,51100,51110,51100,51110,3
1774218780,51045,51045,51045,51045,1
1774218840,51025,51025,50995,51000,5
1774218960,50955,50955,50955,50955,3
1774219020,50960,50960,50905,50910,5
1774219080,50900,50915,50900,50915,3
1774219140,50890,50890,50890,50890,1
1774219200,50855,50855,50815,50815,3
1774219320,50880,50880,50880,50880,8
1774219380,50860,50860,50805,50805,8
1774219440,50795,50795,50760,50760,2
1774219680,50810,50810,50810,50810,1
1774219740,50815,50815,50815,50815,1
1774219860,50850,50850,50840,50840,2
1774220040,50815,50815,50815,50815,1
1774220100,50820,50835,50820,50835,3
1774220160,50850,50890,50850,50890,4
1774220280,50850,50850,50850,50850,1
1774220400,50850,50850,50850,50850,1
1774220460,50875,50910,50875,50910,5
1774220520,50895,50895,50895,50895,1
1774220580,50935,50945,50935,50945,2
1774220640,50945,50960,50945,50945,12
1774220760,50935,50935,50895,50895,6
1774220880,50895,50895,50895,50895,1
1774220940,50940,50940,50940,50940,1
1774221000,50965,50970,50965,50970,2
1774221120,50975,51005,50975,51005,5
1774221240,51015,51015,51015,51015,1
1774221300,51030,51035,51030,51035,3
1774221420,51060,51110,51060,51090,15
1774221480,51055,51055,51040,51040,4
1774221540,51040,51040,50980,50980,7
1774221600,50985,50985,50965,50965,4
1774221780,51005,51005,50995,51005,4
1774221840,51000,51000,51000,51000,1
1774222080,51010,51010,51000,51000,2
1774222140,50985,50985,50985,50985,2
1774222200,51010,51010,51000,51000,3
1774222260,51000,51000,51000,51000,1
1774222320,51000,51000,51000,51000,1
1774222380,50980,50980,50980,50980,1
1774222440,50990,50990,50975,50985,6
1774222500,51005,51005,51005,51005,2
1774222560,51000,51000,51000,51000,1
1774222680,51020,51025,51020,51025,2
1774222860,51070,51090,51070,51090,2
1774222920,51120,51120,51120,51120,2
1774222980,51175,51200,51175,51200,3
1774223040,51135,51150,51130,51150,7
1774223100,51050,51130,51025,51095,17
