time,open,high,low,close,Volume
1777046400,7193.5,7195,7193,7194.25,2997
1777046460,7194.25,7195,7192,7193.75,2896
1777046520,7194,7194.5,7193.25,7194.25,1556
1777046580,7194,7194,7190.25,7193.25,2804
1777046640,7193.5,7194.5,7193.25,7194.25,1793
1777046700,7194.25,7195.75,7193,7193.5,2066
1777046760,7193.5,7195.25,7193.5,7193.75,1390
1777046820,7193.75,7193.75,7188.5,7189.25,2374
1777046880,7189.25,7190,7186.75,7188,4228
1777046940,7188,7189,7187,7188.5,1890
1777047000,7188.25,7190.75,7187.5,7190.75,2519
1777047060,7190.5,7193.25,7190,7192.5,3488
1777047120,7192.5,7194.25,7191,7191.5,2097
1777047180,7191.5,7192.75,7190.5,7192.75,1526
1777047240,7192.75,7192.75,7188.75,7189,1480
1777047300,7189.25,7189.25,7185.25,7186.5,2960
1777047360,7186.5,7189.5,7186.25,7188.75,2189
1777047420,7188.75,7189.5,7188.25,7189.25,1335
1777047480,7189.25,7189.5,7188.5,7189.25,972
1777047540,7189.25,7189.25,7188.25,7188.5,1111
1777047600,7188.5,7190.5,7188.25,7190.25,1692
1777047660,7190.25,7190.25,7189.5,7189.75,837
1777047720,7189.5,7189.5,7187.5,7188.5,1860
1777047780,7188.75,7189.25,7188,7188.5,1170
1777047840,7188.75,7190,7188.5,7189.75,871
1777047900,7189.75,7192,7189.5,7190.75,1754
1777047960,7190.75,7190.75,7189.5,7190.5,1118
1777048020,7190.5,7191,7189.5,7190,871
1777048080,7189.75,7190.5,7189.5,7190.25,1100
1777048140,7190.25,7190.25,7187.25,7189,3238
1777048200,7189,7193.25,7189,7192,4012
1777048260,7191.75,7194.5,7191.5,7193,3117
1777048320,7192.75,7193.75,7192.25,7192.25,1434
1777048380,7192.25,7192.5,7191.5,7191.75,1349
1777048440,7191.75,7193,7190.5,7192.75,3890
1777048500,7192.5,7193,7189.25,7189.5,3441
1777048560,7189.5,7190.75,7189.5,7190,2084
1777048620,7190,7192.5,7189.5,7192,1768
1777048680,7192,7192,7190.25,7190.75,888
1777048740,7190.75,7191.5,7189.25,7190.25,1346
1777048800,7190,7190.25,7189.5,7189.75,1028
1777048860,7189.75,7190.5,7188.25,7188.75,2272
1777048920,7188.75,7189,7186.25,7186.5,1846
1777048980,7186.5,7187.75,7184.25,7185.5,3008
1777049040,7185.75,7187.5,7185.25,7186.75,2629
1777049100,7187,7189,7186.5,7189,2541
1777049160,7189,7189.25,7187,7187.75,1427
1777049220,7187.75,7187.75,7185.5,7186.5,1387
1777049280,7186.5,7188.25,7186.5,7187,1042
1777049340,7187.25,7187.75,7185.75,7187.5,1740
1777049400,7187.75,7189.5,7187.5,7188.25,2009
1777049460,7188,7190.25,7188,7190.25,1454
1777049520,7190.25,7191.25,7189.5,7190,1585
1777049580,7190,7190.5,7189.5,7189.5,875
1777049640,7189.5,7190.5,7189,7190,2696
1777049700,7190.25,7192.25,7190.25,7190.5,1638
1777049760,7190.75,7191.25,7189.75,7190.25,1028
1777049820,7190.25,7190.75,7189.25,7190,868
1777049880,7190,7194,7190,7191.5,4676
1777049940,7191.5,7192,7191.25,7191.5,1498
1777050000,7191.5,7193.5,7191.5,7192.25,1782
1777050060,7192.25,7193.5,7191.25,7192.25,1422
1777050120,7192.25,7193.5,7191.25,7192,2084
1777050180,7192.25,7193.25,7192,7192.75,792
1777050240,7192.75,7193.25,7190.75,7191.25,2418
1777050300,7191.5,7191.75,7189.75,7190,1208
1777050360,7190,7191,7189.25,7191,1610
1777050420,7191,7191.25,7188.5,7189.5,1183
1777050480,7189.75,7190,7188.25,7188.75,1271
1777050540,7188.75,7191.25,7188.5,7189.25,1997
1777050600,7189.25,7191.25,7188.5,7191,1198
1777050660,7191.25,7192,7190,7190.25,1020
1777050720,7190,7190,7189,7189.5,1008
